,skew_diff,FIPS,county,state,Population(2010),Total Areami²,Latitude,Longitude
989,11.55,20117.0,MARSHALL,KS,10117,905.107,39.7827,-96.52124
754,11.545000000000002,18029.0,DEARBORN,IN,50047,307.416,39.15149,-84.97346
2415,11.54,46023.0,CHARLES MIX,SD,9129,1150.235,43.20618,-98.59514
543,11.54,13229.0,PIERCE,GA,18758,343.230,31.35398,-82.21042
2396,11.529999999999998,45075.0,ORANGEBURG,SC,92501,1127.902,33.43613,-80.80291
2365,11.515,45013.0,BEAUFORT,SC,162233,923.396,32.35814,-80.68932
194,11.5,5079.0,LINCOLN,AR,14134,572.185,33.95766,-91.72762
2464,11.49,46123.0,TRIPP,SD,5644,1617.571,43.34972,-99.87621
559,11.469999999999999,13261.0,SUMTER,GA,32819,492.654,32.0422,-84.20428
1303,11.469999999999999,26059.0,HILLSDALE,MI,46688,607.006,41.86447,-84.6424
